COMPANY NAME,ADDRESS,CATEGORY,START DATE,EXPIRY DATE
Content Connect International Limited,"Venia Business Hub, No 8 Providence Street, Lekki Phase 1. Lagos",Value Added Services SCN ,01/04/2021,31/03/2026
Marabbanet Plus Limited,"Suit 40, The Kings Plaza, 507, Ahmadu Bello Way, Kado Abuja.",Value Added Services SCN ,01/06/2021,31/05/2026
Abzafa Nigeria Limited,"54, Ijaye Road, Ijaye - Ojokoro Ijaye Bus Stop, Lagos.",Value Added Services SCN ,01/08/2021,31/07/2026
Qrios Vas Limited,"27B, Adewale Kolawole Crescent, Lekki Phase 1, Oceanside Lekki Lagos.",Value Added Services SCN ,01/08/2021,31/07/2026
VDL Technologies (formerly VAS Digimobility Limited),"Suite 1,Block A,Ground Floor, Alausa Shopping Mall ",Value Added Services SCN ,01/08/2021,31/07/2026
Trustvas Limited,"Amber Solicitors, Suite 7, Veterans’ Plaza, 433 Herbert Macaulay Way, Yaba, Lagos",Value Added Services SCN ,01/04/2021,30/03/2026
Truthware Solutions Limited,"11A, Chris Efunyemi Onanuga Street, Lekki Phase 1, Lagos.",Value Added Services SCN ,01/03/2022,28/02/2027
Interra Networks Limited,BOA Plaza Ground Floor Independence Avenue Central Business District FCT Abuja ,Value Added Services CCS ,01/04/2022,31/03/2027
Capivas Africa Ltd,"63A Mainland Way, Dolphin Estate, Ikoyi, Lagos state.",Value Added Services SCN ,01/06/2022,31/05/2027
Etranzact International Plc,"4th &5th Floor, Fortune Towers, No.27/29 Adeyemo Alakija Street Victoria Island Lagos",Value Added Services SCN ,01/07/2022,30/06/2027
Koravas Solutions Limited,"28B Shakiru Anjorin Street, off Admiralty Road, Lekki Phase 1, Lagos.",Value Added Services SCN ,01/08/2022,31/07/2027
ERL Telecoms Services Limited,"174A, Moshood Olugbani Street, Victoria Island",Value Added Services SCN ,01/08/2023,31/07/2028
Manotel Technologies Ltd,16B Omorinre Johnson Street Lekki Phase 1 Lagos State,Value Added Services SCN ,01/09/2022,31/08/2027
Pinesip Solutions Limited,"No. 12B, Fatai Idowu Arobieke Street, Lekki Phase 1, Lagos.",Value Added Services SCN ,01/06/2022,31/05/2027
M-SAT Nigeria Limited,"Plot 1381 Tiamiyu Savage Street, Victoria Island, Lagos.",Value Added Services SCN ,01/02/2023,31/01/2028
MNO VAS Nigeria Limited,"2c Okotie Eboh, Off Awolowo Road, Ikoyi, Lagos.",Value Added Services SCN ,01/11/2022,31/10/2027
Digiline Solution Limited,"11th Floor, Ark Towers, Ligali Ayorinde Street, Victoria Island, Lagos.",Value Added Services SCN ,01/02/2023,31/01/2028
Oatek Concept & Technologies Limited( Fomerly Jlynks Technologies Limited),"2B Sanni Tola Sonoiki Close, Ikeja GRA, Lagos.",Value Added Services SCN ,01/03/2023,28/02/2028
Tavishil Digital Solutions Limited,"No 23A, Bashorun Okusanya Street, Off Admiralty Way, Admiralty Road, Lekki Phase 1, Lagos.",Value Added Services SCN ,01/03/2023,29/02/2028
Kadick Integrated Limited,"A1 Anambra Plaza, Opposite Traders Community Bank, ICC Trade Fair Complex, Lagos.",Value Added Services SCN ,01/04/2023,31/03/2028
Growthngine Nigeria Limited,"No. 10, 2nd Floor, Hub One, Hughes Avenue, Alagomeji, Yaba, Lagos",Value Added Services SCN ,01/04/2023,31/03/2028
